,Time,Chan1,Chan2,Trial,LED_State
301896,301896,0,2,6,0
302336,302336,0,2,6,0
302776,302776,0,6,6,0
303216,303216,0,0,6,0
303656,303656,0,2,6,0
304096,304096,0,6,6,0
304536,304536,0,0,6,0
304976,304976,0,0,6,0
305452,305452,0,0,7,1
305856,305856,0,0,7,1
306296,306296,0,2,7,1
306736,306736,0,1,7,1
307176,307176,0,0,7,1
307616,307616,0,2,7,1
308056,308056,0,0,7,1
308496,308496,0,2,7,1
308936,308936,0,2,7,1
309376,309376,0,0,7,1
309816,309816,0,1,7,1
310256,310256,0,2,7,1
310696,310696,0,2,7,1
311136,311136,0,0,7,1
311576,311576,0,0,7,1
312016,312016,0,0,7,1
312456,312456,0,0,7,1
312896,312896,0,0,7,1
313336,313336,0,2,7,1
313776,313776,0,6,7,1
314216,314216,0,2,7,1
314656,314656,0,2,7,1
315096,315096,0,6,7,1
315536,315536,0,2,7,1
315976,315976,0,2,7,1
316420,316420,0,6,7,1
316856,316856,0,2,7,1
317296,317296,0,2,7,1
317736,317736,0,0,7,1
318176,318176,0,2,7,1
318616,318616,0,0,7,1
319056,319056,0,0,7,1
319500,319500,0,0,7,1
319936,319936,0,0,7,1
320376,320376,0,2,7,1
320816,320816,0,6,7,1
321256,321256,0,2,7,1
321696,321696,0,2,7,1
322136,322136,0,6,7,1
322584,322584,0,2,7,1
323016,323016,0,2,7,1
323456,323456,0,6,7,1
323896,323896,0,2,7,1
324336,324336,0,2,7,1
324776,324776,0,6,7,1
325216,325216,0,2,7,1
325664,325664,0,0,7,1
326096,326096,0,0,7,1
326536,326536,0,0,7,1
326976,326976,0,2,7,1
327416,327416,0,2,7,1
327856,327856,0,6,7,1
328296,328296,0,2,7,1
328736,328736,0,2,7,1
329176,329176,0,3,7,1
329616,329616,0,2,7,1
330056,330056,0,2,7,1
330496,330496,0,6,7,1
330936,330936,0,0,7,1
331376,331376,0,2,7,1
331816,331816,0,6,7,1
332256,332256,0,0,7,1
332696,332696,0,0,7,1
333136,333136,0,0,7,1
333576,333576,0,0,7,1
334016,334016,2,0,7,1
334456,334456,2,0,7,1
334896,334896,5,0,7,1
335336,335336,0,0,7,1
335776,335776,2,0,7,1
336216,336216,4,0,7,1
336656,336656,0,0,7,1
337096,337096,2,0,7,1
337536,337536,5,0,7,1
337976,337976,0,0,7,1
338416,338416,2,0,7,1
338856,338856,0,0,7,1
339296,339296,0,0,7,1
339736,339736,0,0,7,1
340176,340176,0,0,7,1
340616,340616,0,0,7,1
341056,341056,2,0,7,1
341496,341496,0,0,7,1
341936,341936,0,0,7,1
342376,342376,1,0,7,1
342816,342816,0,0,7,1
343256,343256,1,0,7,1
343696,343696,2,0,7,1
344136,344136,2,0,7,1
344576,344576,0,0,7,1
345016,345016,2,0,7,1
345456,345456,0,0,7,1
345896,345896,0,0,7,1
346336,346336,0,0,7,1
346776,346776,0,0,7,1
347216,347216,0,0,7,1
347656,347656,0,0,7,1
348096,348096,2,0,7,1
348536,348536,3,0,7,1
348976,348976,2,0,7,1
349448,349448,2,0,8,0
349856,349856,5,0,8,0
350296,350296,2,0,8,0
350736,350736,2,0,8,0
351176,351176,3,0,8,0
351616,351616,1,0,8,0
352056,352056,2,0,8,0
352496,352496,1,0,8,0
352936,352936,1,0,8,0
353376,353376,0,0,8,0
353816,353816,0,0,8,0
354256,354256,0,0,8,0
354696,354696,0,0,8,0
355136,355136,2,0,8,0
355576,355576,5,0,8,0
356016,356016,2,0,8,0
356456,356456,2,0,8,0
356896,356896,5,0,8,0
357336,357336,2,0,8,0
357776,357776,2,0,8,0
358216,358216,5,0,8,0
358656,358656,2,0,8,0
359096,359096,2,0,8,0
359536,359536,5,0,8,0
359976,359976,2,0,8,0
360416,360416,0,0,8,0
360856,360856,0,0,8,0
361296,361296,0,0,8,0
361736,361736,2,0,8,0
362176,362176,2,0,8,0
362616,362616,5,0,8,0
363056,363056,2,0,8,0
363496,363496,2,0,8,0
363936,363936,5,0,8,0
364376,364376,0,0,8,0
364816,364816,2,0,8,0
365256,365256,5,0,8,0
365696,365696,2,0,8,0
366136,366136,2,0,8,0
366576,366576,2,0,8,0
367016,367016,0,0,8,0
367456,367456,0,0,8,0
367896,367896,0,0,8,0
368336,368336,0,0,8,0
368776,368776,0,2,8,0
369216,369216,0,1,8,0
369656,369656,0,2,8,0
370096,370096,0,2,8,0
370536,370536,0,6,8,0
370976,370976,0,2,8,0
371416,371416,0,2,8,0
371856,371856,0,1,8,0
372296,372296,0,2,8,0
372744,372744,0,2,8,0
373176,373176,0,2,8,0
373616,373616,0,1,8,0
374056,374056,0,0,8,0
374496,374496,0,0,8,0
374936,374936,0,0,8,0
375376,375376,0,0,8,0
375820,375820,0,2,8,0
376256,376256,0,6,8,0
376696,376696,0,2,8,0
377136,377136,0,2,8,0
377576,377576,0,6,8,0
378016,378016,0,2,8,0
378456,378456,0,2,8,0
378900,378900,0,6,8,0
379336,379336,0,2,8,0
379776,379776,0,2,8,0
380216,380216,0,6,8,0
380656,380656,0,2,8,0
381096,381096,0,0,8,0
381536,381536,0,0,8,0
381980,381980,0,0,8,0
382416,382416,0,2,8,0
382856,382856,0,2,8,0
383296,383296,0,6,8,0
383736,383736,0,2,8,0
384176,384176,0,2,8,0
384616,384616,0,6,8,0
385056,385056,0,0,8,0
385496,385496,0,2,8,0
385936,385936,0,6,8,0
386376,386376,0,2,8,0
386816,386816,0,2,8,0
387256,387256,0,6,8,0
387696,387696,0,0,8,0
388136,388136,0,0,8,0
388576,388576,0,0,8,0
389016,389016,0,0,8,0
389456,389456,0,2,8,0
389896,389896,0,2,8,0
390336,390336,0,4,8,0
390776,390776,0,0,8,0
391216,391216,0,2,8,0
391656,391656,0,0,8,0
392096,392096,0,2,8,0
392536,392536,0,2,8,0
392976,392976,0,1,8,0
393452,393452,0,2,9,1
393856,393856,0,2,9,1
394296,394296,0,0,9,1
394736,394736,0,0,9,1
395176,395176,0,0,9,1
395616,395616,0,0,9,1
396056,396056,0,0,9,1
396496,396496,0,2,9,1
396936,396936,0,0,9,1
397376,397376,0,2,9,1
397816,397816,0,2,9,1
398256,398256,0,6,9,1
398696,398696,0,2,9,1
399136,399136,0,2,9,1
399576,399576,0,0,9,1
400016,400016,0,2,9,1
400456,400456,0,2,9,1
400896,400896,0,2,9,1
401336,401336,0,0,9,1
401776,401776,0,0,9,1
402216,402216,0,0,9,1
402656,402656,0,0,9,1
403096,403096,0,0,9,1
403536,403536,0,2,9,1
403976,403976,0,6,9,1
404416,404416,0,2,9,1
404856,404856,0,2,9,1
405296,405296,0,6,9,1
405736,405736,0,2,9,1
406176,406176,0,2,9,1
406616,406616,0,6,9,1
407056,407056,0,2,9,1
407496,407496,0,2,9,1
407936,407936,0,4,9,1
408376,408376,0,2,9,1
408816,408816,0,0,9,1
409256,409256,0,0,9,1
409696,409696,0,0,9,1
410136,410136,0,1,9,1
410576,410576,0,2,9,1
411016,411016,0,6,9,1
411456,411456,0,2,9,1
411896,411896,0,2,9,1
412336,412336,0,6,9,1
412776,412776,0,0,9,1
413216,413216,0,2,9,1
413656,413656,0,6,9,1
414096,414096,0,2,9,1
414536,414536,0,2,9,1
414976,414976,0,6,9,1
415416,415416,0,2,9,1
415856,415856,0,0,9,1
416296,416296,0,0,9,1
416736,416736,0,0,9,1
417176,417176,0,0,9,1
417616,417616,2,0,9,1
418056,418056,5,0,9,1
418496,418496,2,0,9,1
418936,418936,2,0,9,1
419376,419376,5,0,9,1
419816,419816,0,0,9,1
420256,420256,2,0,9,1
420696,420696,5,0,9,1
421136,421136,2,0,9,1
421576,421576,2,0,9,1
422016,422016,5,0,9,1
422456,422456,0,0,9,1
422896,422896,0,0,9,1
423336,423336,0,0,9,1
423776,423776,0,0,9,1
424216,424216,2,0,9,1
424656,424656,2,0,9,1
425096,425096,4,0,9,1
425536,425536,0,0,9,1
425976,425976,2,0,9,1
426416,426416,0,0,9,1
426856,426856,2,0,9,1
427296,427296,2,0,9,1
427736,427736,5,0,9,1
428176,428176,0,0,9,1
428616,428616,0,0,9,1
429060,429060,0,0,9,1
429496,429496,0,0,9,1
429936,429936,0,0,9,1
430376,430376,0,0,9,1
430816,430816,0,0,9,1
431256,431256,2,0,9,1
431696,431696,0,0,9,1
432140,432140,1,0,9,1
432576,432576,2,0,9,1
433016,433016,0,0,9,1
433456,433456,2,0,9,1
433896,433896,2,0,9,1
