Time,Chan1,Chan2,Trial,LED_State
23602956,0,2,266,0
23603432,0,2,266,0
23603908,0,2,266,0
23604384,0,0,266,0
23604852,0,2,266,0
23605328,0,2,266,0
23605796,0,3,266,0
23606268,0,2,266,0
23606740,0,0,266,0
23607212,0,0,266,0
23607684,0,0,266,0
23608156,0,2,266,0
23608628,0,1,266,0
23609100,0,2,266,0
23609576,0,2,266,0
23610052,0,7,266,0
23610532,0,2,266,0
23611004,0,2,266,0
23611480,0,6,266,0
23611948,0,2,266,0
23612424,0,2,266,0
23612892,0,6,266,0
23613364,0,0,266,0
23613836,0,0,266,0
23614308,0,0,266,0
23614780,0,0,266,0
23615252,0,2,266,0
23615728,0,7,266,0
23616204,0,2,266,0
23616680,0,2,266,0
23617148,0,6,266,0
23617624,0,0,266,0
23618092,0,2,266,0
23618568,0,6,266,0
23619036,0,2,266,0
23619508,0,2,266,0
23620016,0,0,267,1
23620492,0,0,267,1
23620972,0,0,267,1
23621444,0,0,267,1
23621912,0,3,267,1
23622388,0,3,267,1
23622864,0,7,267,1
23623332,0,0,267,1
23623808,0,0,267,1
23624276,0,2,267,1
23624752,0,3,267,1
23625220,0,5,267,1
23625692,0,2,267,1
23626164,0,3,267,1
23626636,0,7,267,1
23627116,0,2,267,1
23627588,0,0,267,1
23628060,0,0,267,1
23628532,0,0,267,1
23629008,0,3,267,1
23629476,0,0,267,1
23629952,0,2,267,1
23630420,0,3,267,1
23630900,0,7,267,1
23631364,0,2,267,1
23631836,0,3,267,1
23632308,0,7,267,1
23632780,0,2,267,1
23633260,0,3,267,1
23633732,0,7,267,1
23634204,0,0,267,1
23634676,0,0,267,1
23635152,0,0,267,1
23635620,0,0,267,1
23636100,2,0,267,1
23636572,6,0,267,1
23637056,2,0,267,1
23637524,2,0,267,1
23637996,6,0,267,1
23638508,0,0,268,0
23638988,2,0,268,0
23639460,6,0,268,0
23639940,2,0,268,0
23640420,0,0,268,0
23640892,0,0,268,0
23641364,0,0,268,0
23641836,0,0,268,0
